timestamp,PnL
2025-04-21 12:00:00.477140+00:00,0.0
2025-04-21 12:00:00.496289+00:00,0.0
2025-04-21 12:00:13.316029+00:00,-19.5
2025-04-21 12:00:13.355370+00:00,-19.5
2025-04-21 12:04:07.937081+00:00,-20.5
2025-04-21 12:04:07.974974+00:00,-7.0
2025-04-21 12:04:09.673833+00:00,-41.0
2025-04-21 12:04:09.694011+00:00,-21.0
2025-04-21 12:06:11.402008+00:00,-21.0
2025-04-21 12:06:11.414406+00:00,-21.0
2025-04-21 12:06:19.935766+00:00,-55.0
2025-04-21 12:06:19.936182+00:00,-35.0
2025-04-21 12:06:49.160951+00:00,-35.0
2025-04-21 12:06:49.178566+00:00,-35.0
2025-04-21 12:07:01.753743+00:00,-69.0
2025-04-21 12:07:01.754140+00:00,-49.0
2025-04-21 12:14:53.433666+00:00,-49.0
2025-04-21 12:14:53.454218+00:00,-49.0
2025-04-21 12:16:28.674960+00:00,-49.0
2025-04-21 12:16:28.675362+00:00,-41.5
2025-04-21 12:20:14.647532+00:00,-40.5
2025-04-21 12:20:14.648083+00:00,-40.5
2025-04-21 12:20:29.475605+00:00,-40.5
2025-04-21 12:20:29.476035+00:00,-41.5
2025-04-21 12:21:19.859496+00:00,-54.0
2025-04-21 12:21:19.881890+00:00,-54.0
2025-04-21 12:21:20.278019+00:00,-54.0
2025-04-21 12:21:20.278357+00:00,-54.0
2025-04-21 12:25:09.760188+00:00,-72.5
2025-04-21 12:25:09.775263+00:00,-72.5
2025-04-21 12:25:15.294343+00:00,-72.5
2025-04-21 12:25:15.313837+00:00,-71.5
2025-04-21 12:25:22.134695+00:00,-71.5
2025-04-21 12:25:22.974674+00:00,-71.5
2025-04-21 12:25:50.234513+00:00,-70.5
2025-04-21 12:25:50.974047+00:00,-91.33333333333334
2025-04-21 12:33:36.394498+00:00,-91.33333333333334
2025-04-21 12:33:36.473720+00:00,-91.33333333333334
2025-04-21 12:34:54.052917+00:00,-91.33333333333334
2025-04-21 12:34:54.073367+00:00,-91.33333333333334
2025-04-21 12:35:16.713938+00:00,-91.33333333333334
2025-04-21 12:35:16.737386+00:00,-90.33333333333334
2025-04-21 12:35:17.975343+00:00,-90.33333333333334
2025-04-21 12:35:18.113120+00:00,-90.33333333333334
2025-04-21 12:35:18.974757+00:00,-90.33333333333334
2025-04-21 12:35:18.992956+00:00,-91.33333333333334
2025-04-21 12:39:31.144829+00:00,-93.33333333333334
2025-04-21 12:39:31.397246+00:00,-79.66666666666667
